words,links,capital_words,spam_word_count,is_spam
200,2,6,0,0
145,2,7,2,0
294,1,2,1,0
244,2,2,2,0
290,0,9,3,0
137,1,3,0,0
935,4,10,8,1
247,2,4,5,0
235,0,0,1,0
174,0,24,4,1
445,0,3,2,0
23,0,3,2,0
209,0,2,1,0
56,9,3,3,1
242,0,3,0,0
344,1,0,0,0
286,1,10,2,0
496,4,4,0,1
66,1,1,1,0
430,7,5,9,1
475,2,1,1,0
102,2,0,2,0
80,3,1,0,0
464,7,9,9,1
710,0,26,4,1
685,3,24,10,1
788,1,29,5,1
158,6,20,10,1
850,6,22,10,1
429,7,26,10,1
261,2,2,2,0
127,2,15,7,1
794,2,11,9,1
342,1,2,0,0
879,0,5,3,1
348,6,1,7,1
93,1,5,1,0
270,4,1,1,0
203,0,10,2,0
235,1,3,2,0
882,7,21,3,1
212,5,1,3,0
288,3,1,1,0
158,0,0,5,0
209,1,2,0,0
64,3,27,3,1
186,2,5,6,1
284,1,1,0,0
197,1,1,4,0
510,2,27,3,1
57,3,24,6,1
295,1,2,5,0
26,3,2,5,0
138,6,13,5,1
262,2,0,0,0
58,2,1,0,0
207,0,3,1,0
1000,3,23,3,1
489,2,26,8,1
130,1,3,2,0
281,1,4,2,0
284,0,3,6,0
154,2,1,2,0
37,0,2,0,0
178,2,0,2,0
188,0,0,1,0
160,9,0,3,1
304,0,4,1,0
160,1,1,2,0
220,4,3,1,0
62,2,10,1,0
232,0,4,8,1
671,7,7,9,1
64,9,10,6,1
403,0,2,0,0
151,3,26,10,1
710,2,6,7,1
661,7,14,7,1
362,8,23,8,1
656,6,27,3,1
186,0,2,1,0
313,10,28,10,1
368,2,16,2,1
156,2,11,10,1
23,1,2,0,0
425,3,13,5,1
100,1,1,1,0
593,8,15,3,1
116,2,24,1,1
59,1,0,1,0
657,9,29,3,1
310,9,16,1,1
150,1,10,1,0
33,0,1,1,0
83,1,2,1,0
101,3,0,1,1
612,7,16,0,1
458,9,16,5,1
250,3,7,0,0
287,4,2,0,0
243,0,3,2,0
769,10,3,5,1
137,3,5,8,1
736,2,25,5,1
784,9,6,3,1
865,7,10,8,1
240,1,1,1,0
277,1,2,4,0
274,1,1,0,0
221,1,2,2,0
416,2,0,2,0
765,4,6,10,1
822,9,20,5,1
127,9,17,8,1
469,7,2,10,1
215,1,5,2,0
21,0,0,5,0
45,0,4,1,0
96,2,0,5,0
300,2,1,4,0
261,1,3,0,0
514,2,11,3,1
124,2,29,5,1
558,6,24,5,1
174,0,4,2,0
56,0,2,1,0
183,3,4,3,1
104,1,10,0,0
770,9,0,7,1
85,9,7,3,1
32,4,3,2,0
695,8,5,3,1
160,1,3,0,0
157,1,2,1,0
543,5,2,5,1
297,1,8,2,0
45,0,1,2,0
103,4,3,7,1
59,2,13,9,1
118,2,6,8,1
652,2,9,6,1
100,2,1,2,0
202,1,3,0,0
155,2,17,5,1
200,0,0,2,0
170,5,21,6,1
182,4,17,0,1
70,4,5,6,1
91,3,3,0,0
393,5,1,1,0
282,0,5,6,0
266,0,0,3,0
206,1,0,1,0
231,3,9,9,1
334,5,5,9,1
331,3,8,10,1
138,0,0,2,0
64,1,5,2,0
202,1,1,2,0
301,1,21,3,1
116,1,3,0,0
150,1,1,0,0
220,1,3,0,0
660,6,4,7,1
390,7,26,5,1
497,3,5,7,1
154,7,21,8,1
103,1,3,1,0
938,2,6,9,1
80,0,2,2,0
911,3,17,4,1
195,9,14,0,1
254,1,0,2,0
978,6,3,3,1
242,2,3,0,0
874,8,5,8,1
504,3,0,10,1
180,3,30,5,1
524,2,11,4,1
192,9,13,8,1
60,1,7,3,0
446,1,0,2,0
119,2,3,1,0
254,0,0,1,0
994,8,16,0,1
333,7,14,7,1
268,0,1,0,0
70,2,7,2,0
650,6,17,9,1
161,4,22,3,1
577,9,11,8,1
676,4,9,4,1
76,3,19,7,1
379,3,14,10,1
156,2,2,5,0
143,4,5,4,1
204,2,1,2,0
102,4,27,10,1
143,9,27,4,1
226,3,5,5,1
472,9,20,1,1
665,3,4,10,1
139,2,10,0,0
616,7,5,4,1
60,1,2,2,0
153,0,3,2,0
89,4,26,4,1
203,7,28,3,1
137,2,16,8,1
856,6,4,4,1
70,2,5,2,0
828,4,17,1,1
285,2,3,1,0
159,1,8,0,0
313,1,10,2,0
458,7,16,8,1
460,4,0,1,0
284,1,3,0,0
162,7,30,10,1
184,2,0,0,0
89,2,1,0,0
849,2,10,5,1
416,3,5,8,1
114,0,2,0,0
311,2,23,9,1
164,7,10,6,1
277,1,5,2,0
211,5,3,1,0
980,2,9,9,1
768,7,19,3,1
333,10,13,6,1
165,0,1,1,0
242,1,0,0,0
104,3,3,8,1
764,3,13,3,1
124,2,3,1,0
799,9,1,8,1
82,6,22,1,1
138,9,5,9,1
46,2,3,1,0
841,2,28,8,1
142,0,1,10,1
214,0,1,2,0
223,0,6,0,0
195,0,7,1,0
259,4,0,1,0
475,0,0,2,0
908,5,4,8,1
146,2,10,2,0
73,1,1,2,0
300,0,1,1,0
148,2,7,1,0
110,1,2,5,0
237,0,3,2,0
324,1,10,3,1
66,2,14,5,1
141,0,1,1,0
